"fund&#x14d;, ere, f&#x16b;d&#x12b;, f&#x16b;sus                           ","pour (out), shed; lay low, slay, rout; extend"
"fur&#x14d;, ere, u&#x12b;                                                 ","rage, rave, be frantic"
"fut&#x16b;rus, a, um                                                      ","future, destined (to be), impending, aboout to be; see sum, esse"
"geminus, a, um                                                            ","twin, double, two"
"genitor, &#x14d;ris [m]                                                   ","begetter, father, sire"
"g&#x113;ns, gentis [f]                                                    ","clan, race, nation, herd"
"genus, eris [n]                                                           ","birth, origin, race; descendant; kind, family"
"habe&#x14d;, &#x113;re, u&#x12b;, itus                                    ","hold, consider"
"haud                                                                      ","not, by no means, not at all"
"heu                                                                       ","alas!, ah!, ah me!"
"h&#x12b;c                                                                 ","here, there, hereupon"
"hic, haec, hoc                                                            ","this, that; he, she, it"
"hinc                                                                      ","from this place, hence, thence"
"hon&#x14d;s(or), &#x14d;ris [m]                                           ","honor, glory, reward; offering, sacrifice; charm, grace"
"h&#x16b;c                                                                 ","to this place, hither, here"
"&#x12b;, &#x12b;bam, &#x12b;b&#x14d;, &#x12b;re, it, &#x12b;te            ","see eo, ire"
"&#x12b;dem, eadem, idem                                                   ","same, the same"
"ignis, is [m]                                                             ","fire, flame, light, lightning, star; passion, love, fury, wrath"
"ille, la, lud                                                             ","that (famous); he, she, it"
"imm&#x101;nis, e                                                          ","huge, monstrous, enormous, mighty, dreadful, cruel, atrocious"
"imperium, (i)&#x12b; [n]                                                  ","command, power, dominion, rule, sway, mastery, realm(s)"
"&#x12b;mus, a, um                                                         ","(superlative of inferus)lowest, neath-most"
"in                                                                        ","in, on, in case of, among (abl.); insto, against, until, toward (acc.)"
"&#x12b;nf&#x113;l&#x12b;x, &#x12b;cis                                     ","unfortunate, accursed, unhappy, ill-omened, unlucky, wretched"
"&#x12b;nferus, a, um                                                      ","low, below, underneath"
"ing&#x113;ns, entis                                                       ","enormous, mighty, huge"
"inter                                                                     ","between, among, during (acc.)"
"ipse, sa, sum                                                             ","(him, her, it)self; very"
"&#x12b;ra, ae [f]                                                         ","wrath, rage, anger, passion"
