"aeternus, a, um","eternal, undying"
"recipi&#x14d;, ere, c&#x113;p&#x12b;, ceptus","receive, accept"
"red&#x16b;c&#x14d;, ere, d&#x16b;x&#x12b;, ductus","lead back, bring back, restore"
"rem&#x113;tior, &#x12b;r&#x12b;, m&#x113;nsus","remeasure, recross"
"repet&#x14d;, ere, &#x12b;v&#x12b;, &#x12b;tus","reseek, repeat"
"r&#x14d;bur, oris n.","oak, strength"
"statu&#x14d;, ere, u&#x12b;, &#x16b;tus","set up, establish"
"tamen","nevertheless, however, but"
"tempt&#x14d;(1)","try, test, seek, examine"
"tex&#x14d;, ere, xu&#x12b;, xtus","weave, cover"
"Achill&#x113;s, is (&#x12b;, e&#x12b;) m.","Greek leader"
"annus, i m.","year, season"
"ars, artis f.","artistry, cunning, skill"
"adscend&#x14d;, ere, &#x12b;, &#x113;nsus","ascend, mount"
"Asia, ae f.","asia minor"
"car&#x12b;na, ae f.","keel, ship"
"c&#x14d;g&#x14d;, ere, co&#x113;g&#x12b;, co&#x101;ctus","force, compel"
"convert&#x14d;, ere, &#x12b;, rsus","turn, change"
"cr&#x113;d&#x14d;, ere, did&#x12b;, ditus","believe, trust"
"decem","ten"
"dolus, &#x12b; m.","deceit, wiles, trick, fraud"
"dom&#x14d;, &#x101;re, u&#x12b;, itus","subdue, crush"
"exitium, i&#x12b; n.","destruction, ruin"
"impr&#x14d;vidus, a, um","unforeseeing, heedless"
"&#x12b;nsidiae, &#x101;rum f.","ambush, snare, treachery"
"L&#x101;r&#x12b;ssaeus, a, um","Larissaean"
"magis","more, rather"
"m&#x12b;lle; m&#x12b;lia, ium n.","thousand"
"Minerva, ae f.","goddess of wisdom and the arts"
"nep&#x14d;s, &#x14d;tis m.","grandson, descendant"
"n&#x113;ve, neu","nor, neither, or lest"
"objici&#x14d;, ere, j&#x113;c&#x12b;, jectus","present, place before"
"&#x14d;men, inis n.","omen, sign, portent"
"Pelop&#x113;us, a, um","of Pelops"
"perj&#x16b;rus, a, um","perjured, treacherous"
"Phryx, Phrygis m.","Phrygian, Trojan"
"populus, &#x12b; m.","people, race, nation"
"prius","sooner, before"
"relligi&#x14d;, &#x14d;nis f.","religion, offering"
"s&#x12b;n","but if, if, however"
"Sin&#x14d;n, &#x14d;nis m.","a lying greek, terrible dreadful"
"tremendus, a, um","watch, protect"
"tueor, &#x113;r&#x12b;, itus","confuse, agitate, disturb"
"turb&#x14d;(1)","son of Tydeus, Diomedes, Greek leader"
"T&#x233;d&#x12b;d&#x113;s, ae m.","voluntarily, further"
"ultr&#x14d;","yours, your own"
"vester, tra, trum","violate, outrage, profane "
"viol&#x14d;(1)",         
